,,,Hour,Minute,Rel Humidity,Temp,Global Solar Rad
2015,4,1,21,40,61.36,26,0
2015,4,1,21,50,61.36,26,0
2015,4,1,22,0,61.36,26,0
2015,4,1,22,10,61.32166667,25.83333333,0
2015,4,1,22,20,61.28333333,25.66666667,0
2015,4,1,22,30,61.245,25.5,0
2015,4,1,22,40,61.20666667,25.33333333,0
2015,4,1,22,50,61.16833333,25.16666667,0
2015,4,1,23,0,61.13,25,0
2015,4,1,23,10,63.18166667,24.66666667,0
2015,4,1,23,20,65.23333333,24.33333333,0
2015,4,1,23,30,67.285,24,0
2015,4,1,23,40,69.33666667,23.66666667,0
2015,4,1,23,50,71.38833333,23.33333333,0
