,,,Hour,Minute,Temp,Rel Humidity,Global Solar Rad
2016,4,1,21,40,21.48717949,50.63641026,35.66666667
2016,4,1,21,50,21.3974359,51.07128205,20.83333333
2016,4,1,22,0,21.30769231,51.50615385,6
2016,4,1,22,10,21.21794872,51.94102564,5
2016,4,1,22,20,21.12820513,52.37589744,4
2016,4,1,22,30,21.03846154,52.81076923,3
2016,4,1,22,40,20.94871795,53.24564103,2
2016,4,1,22,50,20.85897436,53.68051282,1
2016,4,1,23,0,20.76923077,54.11538462,0
2016,4,1,23,10,20.67948718,54.55025641,0
2016,4,1,23,20,20.58974359,54.98512821,0
2016,4,1,23,30,20.5,55.42,0
2016,4,1,23,40,20.41025641,55.85487179,0
2016,4,1,23,50,20.32051282,56.28974359,0
