,,,Hour,Minute,Temp,Rel Humidity,Global Solar Rad
2005,1,2,3,9,59,71,0
2005,1,2,3,19,59,71,0
2005,1,2,3,29,59,71,0
2005,1,2,3,39,59,71,0
2005,1,2,3,49,59,71,0
2005,1,2,3,59,59,71,0
2005,1,2,4,9,59,71,0
2005,1,2,4,19,59,71,0
2005,1,2,4,29,59,71,0
2005,1,2,4,39,59,71,0
2005,1,2,4,49,59,71,0
2005,1,2,4,59,59,71,0
2005,1,2,5,9,59,71,0
2005,1,2,5,19,59,71,0
2005,1,2,5,29,59,71,0
2005,1,2,5,39,59,71,0
2005,1,2,5,49,59,71,0
2005,1,2,5,59,59,71,0
2005,1,2,6,9,59,70.5,0
2005,1,2,6,19,59,70,0
2005,1,2,6,29,59,69.5,0
2005,1,2,6,39,59,69,0
2005,1,2,6,49,59,68.5,0
2005,1,2,6,59,59,68,0
2005,1,2,7,9,59,68,5.166666667
2005,1,2,7,19,59,68,10.33333333
2005,1,2,7,29,59,68,15.5
2005,1,2,7,39,59,68,20.66666667
2005,1,2,7,49,59,68,25.83333333
2005,1,2,7,59,59,68,31
2005,1,2,8,9,59,68.5,31
2005,1,2,8,19,59,69,31
2005,1,2,8,29,59,69.5,31
2005,1,2,8,39,59,70,31
2005,1,2,8,49,59,70.5,31
2005,1,2,8,59,59,71,31
2005,1,2,9,9,59,70,32.83333333
2005,1,2,9,19,59,69,34.66666667
2005,1,2,9,29,59,68,36.5
2005,1,2,9,39,59,67,38.33333333
2005,1,2,9,49,59,66,40.16666667
2005,1,2,9,59,59,65,42
2005,1,2,10,9,59,65.5,43.83333333
2005,1,2,10,19,59,66,45.66666667
2005,1,2,10,29,59,66.5,47.5
2005,1,2,10,39,59,67,49.33333333
2005,1,2,10,49,59,67.5,51.16666667
2005,1,2,10,59,59,68,53
2005,1,2,11,9,59,67.5,52.66666667
2005,1,2,11,19,59,67,52.33333333
2005,1,2,11,29,59,66.5,52
2005,1,2,11,39,59,66,51.66666667
2005,1,2,11,49,59,65.5,51.33333333
2005,1,2,11,59,59,65,51
2005,1,2,12,9,59,64.33333333,58.16666667
2005,1,2,12,19,59,63.66666667,65.33333333
2005,1,2,12,29,59,63,72.5
2005,1,2,12,39,59,62.33333333,79.66666667
2005,1,2,12,49,59,61.66666667,86.83333333
2005,1,2,12,59,59,61,94
2005,1,2,13,9,59,61.66666667,92.16666667
2005,1,2,13,19,59,62.33333333,90.33333333
2005,1,2,13,29,59,63,88.5
2005,1,2,13,39,59,63.66666667,86.66666667
2005,1,2,13,49,59,64.33333333,84.83333333
2005,1,2,13,59,59,65,83
2005,1,2,14,9,59,65,69.16666667
2005,1,2,14,19,59,65,55.33333333
2005,1,2,14,29,59,65,41.5
2005,1,2,14,39,59,65,27.66666667
2005,1,2,14,49,59,65,13.83333333
2005,1,2,14,59,59,65,0
2005,1,2,15,9,59,64.5,0
2005,1,2,15,19,59,64,0
2005,1,2,15,29,59,63.5,0
2005,1,2,15,39,59,63,0
2005,1,2,15,49,59,62.5,0
2005,1,2,15,59,59,62,0
2005,1,2,16,9,59,62,0
2005,1,2,16,19,59,62,0
2005,1,2,16,29,59,62,0
2005,1,2,16,39,59,62,0
2005,1,2,16,49,59,62,0
2005,1,2,16,59,59,62,0
2005,1,2,17,9,59,62.5,0
2005,1,2,17,19,59,63,0
2005,1,2,17,29,59,63.5,0
2005,1,2,17,39,59,64,0
2005,1,2,17,49,59,64.5,0
2005,1,2,17,59,59,65,0
2005,1,2,18,9,59,64.83333333,0
2005,1,2,18,19,59,64.66666667,0
2005,1,2,18,29,59,64.5,0
2005,1,2,18,39,59,64.33333333,0
2005,1,2,18,49,59,64.16666667,0
2005,1,2,18,59,59,64,0
2005,1,2,19,9,59,64,0
2005,1,2,19,19,59,64,0
2005,1,2,19,29,59,64,0
2005,1,2,19,39,59,64,0
2005,1,2,19,49,59,64,0
2005,1,2,19,59,59,64,0
2005,1,2,20,9,59,64.66666667,0
2005,1,2,20,19,59,65.33333333,0
2005,1,2,20,29,59,66,0
2005,1,2,20,39,59,66.66666667,0
2005,1,2,20,49,59,67.33333333,0
2005,1,2,20,59,59,68,0
2005,1,2,21,9,59,67.33333333,0
2005,1,2,21,19,59,66.66666667,0
2005,1,2,21,29,59,66,0
2005,1,2,21,39,59,65.33333333,0
2005,1,2,21,49,59,64.66666667,0
2005,1,2,21,59,59,64,0
2005,1,2,22,9,59,64,0
2005,1,2,22,19,59,64,0
2005,1,2,22,29,59,64,0
2005,1,2,22,39,59,64,0
2005,1,2,22,49,59,64,0
2005,1,2,22,59,59,64,0
2005,1,2,23,9,59,63.5,0
2005,1,2,23,19,59,63,0
2005,1,2,23,29,59,62.5,0
2005,1,2,23,39,59,62,0
2005,1,2,23,49,59,61.5,0
2005,1,2,23,59,59,61,0
2005,1,3,0,9,59,62,0
2005,1,3,0,19,59,63,0
2005,1,3,0,29,59,64,0
2005,1,3,0,39,59,65,0
2005,1,3,0,49,59,66,0
2005,1,3,0,59,59,67,0
2005,1,3,1,9,59,66.5,0
2005,1,3,1,19,59,66,0
2005,1,3,1,29,59,65.5,0
2005,1,3,1,39,59,65,0
2005,1,3,1,49,59,64.5,0
2005,1,3,1,59,59,64,0
2005,1,3,2,9,59,64.5,0
2005,1,3,2,19,59,65,0
2005,1,3,2,29,59,65.5,0
2005,1,3,2,39,59,66,0
2005,1,3,2,49,59,66.5,0
2005,1,3,2,59,59,67,0
2005,1,3,3,9,59,67,0
2005,1,3,3,19,59,67,0
2005,1,3,3,29,59,67,0
2005,1,3,3,39,59,67,0
2005,1,3,3,49,59,67,0
2005,1,3,3,59,59,67,0
2005,1,3,4,9,59,67,0
2005,1,3,4,19,59,67,0
2005,1,3,4,29,59,67,0
2005,1,3,4,39,59,67,0
2005,1,3,4,49,59,67,0
2005,1,3,4,59,59,67,0
2005,1,3,5,9,59,67.66666667,0
2005,1,3,5,19,59,68.33333333,0
2005,1,3,5,29,59,69,0
2005,1,3,5,39,59,69.66666667,0
2005,1,3,5,49,59,70.33333333,0
2005,1,3,5,59,59,71,0
2005,1,3,6,9,59,70.83333333,0
2005,1,3,6,19,59,70.66666667,0
2005,1,3,6,29,59,70.5,0
2005,1,3,6,39,59,70.33333333,0
2005,1,3,6,49,59,70.16666667,0
2005,1,3,6,59,59,70,0
2005,1,3,7,9,59,69.5,3.5
2005,1,3,7,19,59,69,7
2005,1,3,7,29,59,68.5,10.5
2005,1,3,7,39,59,68,14
2005,1,3,7,49,59,67.5,17.5
2005,1,3,7,59,59,67,21
2005,1,3,8,9,59,67.66666667,25.66666667
2005,1,3,8,19,59,68.33333333,30.33333333
2005,1,3,8,29,59,69,35
2005,1,3,8,39,59,69.66666667,39.66666667
2005,1,3,8,49,59,70.33333333,44.33333333
2005,1,3,8,59,59,71,49
2005,1,3,9,9,59,70.33333333,48.83333333
2005,1,3,9,19,59,69.66666667,48.66666667
2005,1,3,9,29,59,69,48.5
2005,1,3,9,39,59,68.33333333,48.33333333
2005,1,3,9,49,59,67.66666667,48.16666667
2005,1,3,9,59,59,67,48
2005,1,3,10,9,59,67.66666667,48.83333333
2005,1,3,10,19,59,68.33333333,49.66666667
2005,1,3,10,29,59,69,50.5
2005,1,3,10,39,59,69.66666667,51.33333333
2005,1,3,10,49,59,70.33333333,52.16666667
2005,1,3,10,59,59,71,53
2005,1,3,11,9,59,70.33333333,52.66666667
2005,1,3,11,19,59,69.66666667,52.33333333
2005,1,3,11,29,59,69,52
2005,1,3,11,39,59,68.33333333,51.66666667
2005,1,3,11,49,59,67.66666667,51.33333333
2005,1,3,11,59,59,67,51
2005,1,3,12,9,59,67.66666667,50.83333333
2005,1,3,12,19,59,68.33333333,50.66666667
2005,1,3,12,29,59,69,50.5
2005,1,3,12,39,59,69.66666667,50.33333333
2005,1,3,12,49,59,70.33333333,50.16666667
2005,1,3,12,59,59,71,50
2005,1,3,13,9,59,71,52.33333333
2005,1,3,13,19,59,71,54.66666667
2005,1,3,13,29,59,71,57
2005,1,3,13,39,59,71,59.33333333
2005,1,3,13,49,59,71,61.66666667
2005,1,3,13,59,59,71,64
2005,1,3,14,9,59,71.66666667,53.33333333
2005,1,3,14,19,59,72.33333333,42.66666667
2005,1,3,14,29,59,73,32
2005,1,3,14,39,59,73.66666667,21.33333333
2005,1,3,14,49,59,74.33333333,10.66666667
2005,1,3,14,59,59,75,0
2005,1,3,15,9,59,75,0
2005,1,3,15,19,59,75,0
2005,1,3,15,29,59,75,0
2005,1,3,15,39,59,75,0
2005,1,3,15,49,59,75,0
2005,1,3,15,59,59,75,0
2005,1,3,16,9,59,75,0
2005,1,3,16,19,59,75,0
2005,1,3,16,29,59,75,0
2005,1,3,16,39,59,75,0
2005,1,3,16,49,59,75,0
2005,1,3,16,59,59,75,0
2005,1,3,17,9,59,73.83333333,0
2005,1,3,17,19,59,72.66666667,0
2005,1,3,17,29,59,71.5,0
2005,1,3,17,39,59,70.33333333,0
2005,1,3,17,49,59,69.16666667,0
2005,1,3,17,59,59,68,0
2005,1,3,18,9,59,68,0
2005,1,3,18,19,59,68,0
2005,1,3,18,29,59,68,0
2005,1,3,18,39,59,68,0
2005,1,3,18,49,59,68,0
2005,1,3,18,59,59,68,0
2005,1,3,19,9,59,68,0
2005,1,3,19,19,59,68,0
2005,1,3,19,29,59,68,0
2005,1,3,19,39,59,68,0
2005,1,3,19,49,59,68,0
2005,1,3,19,59,59,68,0
2005,1,3,20,9,59,68,0
2005,1,3,20,19,59,68,0
2005,1,3,20,29,59,68,0
2005,1,3,20,39,59,68,0
2005,1,3,20,49,59,68,0
2005,1,3,20,59,59,68,0
2005,1,3,21,9,59,68,0
2005,1,3,21,19,59,68,0
2005,1,3,21,29,59,68,0
2005,1,3,21,39,59,68,0
2005,1,3,21,49,59,68,0
2005,1,3,21,59,59,68,0
2005,1,3,22,9,59,68,0
2005,1,3,22,19,59,68,0
2005,1,3,22,29,59,68,0
2005,1,3,22,39,59,68,0
2005,1,3,22,49,59,68,0
2005,1,3,22,59,59,68,0
2005,1,3,23,9,59,66.83333333,0
2005,1,3,23,19,59,65.66666667,0
2005,1,3,23,29,59,64.5,0
2005,1,3,23,39,59,63.33333333,0
2005,1,3,23,49,59,62.16666667,0
2005,1,3,23,59,59,61,0
2005,1,4,0,9,59,62.16666667,0
2005,1,4,0,19,59,63.33333333,0
2005,1,4,0,29,59,64.5,0
2005,1,4,0,39,59,65.66666667,0
2005,1,4,0,49,59,66.83333333,0
2005,1,4,0,59,59,68,0
2005,1,4,1,9,59,68,0
2005,1,4,1,19,59,68,0
2005,1,4,1,29,59,68,0
2005,1,4,1,39,59,68,0
2005,1,4,1,49,59,68,0
2005,1,4,1,59,59,68,0
2005,1,4,2,9,59,67.5,0
2005,1,4,2,19,59,67,0
2005,1,4,2,29,59,66.5,0
2005,1,4,2,39,59,66,0
2005,1,4,2,49,59,65.5,0
2005,1,4,2,59,59,65,0
2005,1,4,3,9,59,65,0
2005,1,4,3,19,59,65,0
2005,1,4,3,29,59,65,0
2005,1,4,3,39,59,65,0
2005,1,4,3,49,59,65,0
2005,1,4,3,59,59,65,0
2005,1,4,4,9,59,64.83333333,0
2005,1,4,4,19,59,64.66666667,0
2005,1,4,4,29,59,64.5,0
2005,1,4,4,39,59,64.33333333,0
2005,1,4,4,49,59,64.16666667,0
2005,1,4,4,59,59,64,0
2005,1,4,5,9,59,64.5,0
2005,1,4,5,19,59,65,0
2005,1,4,5,29,59,65.5,0
2005,1,4,5,39,59,66,0
2005,1,4,5,49,59,66.5,0
2005,1,4,5,59,59,67,0
2005,1,4,6,9,59,67,0
2005,1,4,6,19,59,67,0
2005,1,4,6,29,59,67,0
2005,1,4,6,39,59,67,0
2005,1,4,6,49,59,67,0
2005,1,4,6,59,59,67,0
2005,1,4,7,9,59,66.5,9.166666667
2005,1,4,7,19,59,66,18.33333333
2005,1,4,7,29,59,65.5,27.5
2005,1,4,7,39,59,65,36.66666667
2005,1,4,7,49,59,64.5,45.83333333
2005,1,4,7,59,59,64,55
2005,1,4,8,9,59,64,51.83333333
2005,1,4,8,19,59,64,48.66666667
2005,1,4,8,29,59,64,45.5
2005,1,4,8,39,59,64,42.33333333
2005,1,4,8,49,59,64,39.16666667
2005,1,4,8,59,59,64,36
