,,,Hour,Minute,Temp,Rel Humidity,Global Solar Rad
2015,4,1,22,10,12.83333333,80.93674015,0
2015,4,1,22,20,12.66666667,80.93087508,0
2015,4,1,22,30,12.5,80.92501002,0
2015,4,1,22,40,12.33333333,80.91914496,0
2015,4,1,22,50,12.16666667,80.91327989,0
2015,4,1,23,0,12,80.90741483,0
2015,4,1,23,10,11.91666667,80.90154977,0
2015,4,1,23,20,11.83333333,80.8956847,0
2015,4,1,23,30,11.75,80.88981964,0
2015,4,1,23,40,11.66666667,80.88395458,0
2015,4,1,23,50,11.58333333,80.87808951,0
